Buổi,Cảm xúc,Độ tuổi,Số lượng người,Thời tiết,Phong cách ẩm thực,Loại hình quán ăn,Chế độ ăn,Đặc Biệt,Độ phổ biến,Loại đồ ăn,,,,,
Trưa,Buồn,26,4,Mát,miền nam,Nhà hàng bình dân,ăn thoải mái,wifi miễn phí,bình thường,Món lạnh,,,,,
Chiều,Khó chịu,31,4,Quá Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn chay,Đang giảm giá,bình thường,đồ ăn vặt,,,,,
Chiều,Khó chịu,5,4,Mát,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng trông trẻ,bestseller,đồ ăn vặt,,,,,
Trưa,Bình thường,37,1,Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,có phòng trông trẻ,đặc sản,Món Tráng miệng,,,,,
Sáng,Khó chịu,34,4,Mát,miền nam,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,hot trend,Món Tráng miệng,,,,,
Tối,Vui,30,2,Mát,miền nam,Quán Vỉa Hè,ăn kiêng,Đang giảm giá,bình thường,Món cho trẻ em,,,,,
Tối,Vui,26,5,Qúa lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn chay,Đang giảm giá,bestseller,Món lạnh,,,,,
Trưa,Buồn,13,3,Quá Nóng,hàn quốc,Nhà hàng bình dân,ăn kiêng,có chỗ đỗ xe,bestseller,Món cho trẻ em,,,,,
Trưa,Bình thường,31,5,Hơi Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn thoải mái,có không gian ngoài trời,bestseller,Món lạnh,,,,,
Sáng,Khó chịu,35,1,Qúa lạnh,Việt nam,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,bình thường,Món Tráng miệng,,,,,
Tối,Buồn,7,1,Hơi lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,bestseller,Món nước,,,,,
Tối,Bình thường,10,2,Hơi Nóng,miền nam,Nhà Hàng Sang Trọng,ăn chay,Đang giảm giá,đặc sản,Món nước,,,,,
Trưa,Vui,20,5,Mát,hàn quốc,Nhà hàng bình dân,ăn thoải mái,Đang giảm giá,hot trend,Món lạnh,,,,,
Chiều,Vui,18,3,Quá Nóng,Việt nam,Quán Vỉa Hè,ăn chay,Đang giảm giá,đặc sản,Món cho trẻ em,,,,,
Trưa,Khó chịu,34,4,Hơi Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,bình thường,Món nước,,,,,
Chiều,Khó chịu,5,1,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,Đang giảm giá,hot trend,Món lạnh,,,,,
Đêm,Khó chịu,12,4,Hơi lạnh,hàn quốc,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,bestseller,Món nước,,,,,
Tối,Vui,21,1,Hơi lạnh,miền nam,Nhà hàng bình dân,ăn kiêng,có chỗ đỗ xe,bình thường,Món cho trẻ em,,,,,
Tối,Bình thường,19,3,Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,đặc sản,đồ ăn vặt,,,,,
Tối,Bình thường,40,3,Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng trông trẻ,hot trend,Món lạnh,,,,,
Tối,Khó chịu,21,3,Quá Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,bình thường,Món lạnh,,,,,
Sáng,Khó chịu,17,3,Lạnh,hàn quốc,Quán Vỉa Hè,ăn thoải mái,wifi miễn phí,bestseller,Món nước,,,,,
Chiều,Bình thường,14,3,Hơi lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,hot trend,Món cho trẻ em,,,,,
Tối,Buồn,31,2,Mát,Trung quốc,Quán Vỉa Hè,ăn chay,Có giao hàng free,hot trend,Món nước,,,,,
Chiều,Vui,33,3,Qúa lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn chay,Đang giảm giá,đặc sản,đồ ăn vặt,,,,,
Sáng,Khó chịu,29,3,Qúa lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,bestseller,Món nước,,,,,
Sáng,Bình thường,18,3,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,bestseller,Món cho trẻ em,,,,,
Tối,Buồn,39,5,Lạnh,Trung quốc,Quán Vỉa Hè,ăn chay,Có giao hàng free,bình thường,Món nước,,,,,
Đêm,Vui,26,5,Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,có phòng trông trẻ,hot trend,Món nước,,,,,
Trưa,Vui,33,3,Hơi lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,bestseller,Món cho trẻ em,,,,,
Đêm,Buồn,25,1,Quá Nóng,hàn quốc,Nhà hàng bình dân,ăn thoải mái,có phòng trông trẻ,đặc sản,đồ ăn vặt,,,,,
Chiều,Vui,30,4,Hơi Nóng,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,đặc sản,đồ ăn vặt,,,,,
Tối,Khó chịu,26,4,Qúa lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,Có giao hàng free,hot trend,Món nước,,,,,
Chiều,Khó chịu,7,4,Quá Nóng,Việt nam,Quán Vỉa Hè,ăn chay,wifi miễn phí,đặc sản,Món cho trẻ em,,,,,
Đêm,Khó chịu,25,4,Lạnh,hàn quốc,Nhà hàng bình dân,ăn thoải mái,có không gian ngoài trời,bình thường,Món lạnh,,,,,
Sáng,Bình thường,37,5,Qúa lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,hot trend,đồ ăn vặt,,,,,
Trưa,Vui,32,1,Hơi Nóng,Trung quốc,Nhà hàng bình dân,ăn kiêng,Đang giảm giá,bình thường,Món nước,,,,,
Chiều,Khó chịu,9,2,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món Tráng miệng,,,,,
Sáng,Vui,17,3,Qúa lạnh,miền nam,Quán Vỉa Hè,ăn chay,có phòng hút thuốc,đặc sản,Món lạnh,,,,,
Đêm,Vui,10,2,Qúa lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn thoải mái,Đang giảm giá,đặc sản,đồ ăn vặt,,,,,
Tối,Bình thường,20,2,Lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,đặc sản,Món nước,,,,,
Sáng,Bình thường,37,4,Mát,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,hot trend,Món lạnh,,,,,
Trưa,Vui,40,1,Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,hot trend,Món lạnh,,,,,
Đêm,Vui,40,1,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,đặc sản,đồ ăn vặt,,,,,
Tối,Buồn,9,1,Quá Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn chay,có phòng trông trẻ,hot trend,Món Tráng miệng,,,,,
Trưa,Bình thường,27,2,Lạnh,Việt nam,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,bestseller,đồ ăn vặt,,,,,
Sáng,Khó chịu,15,4,Nóng,Trung quốc,Quán Vỉa Hè,ăn kiêng,Đang giảm giá,hot trend,Món nước,,,,,
Tối,Vui,21,2,Mát,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,hot trend,Món lạnh,,,,,
Sáng,Bình thường,40,3,Mát,Trung quốc,Quán Vỉa Hè,ăn kiêng,có chỗ đỗ xe,hot trend,Món nước,,,,,
Chiều,Vui,24,5,Hơi lạnh,miền nam,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,hot trend,Món lạnh,,,,,
Trưa,Buồn,20,4,Qúa lạnh,Trung quốc,Nhà hàng bình dân,ăn thoải mái,wifi miễn phí,đặc sản,Món lạnh,,,,,
Tối,Khó chịu,27,1,Lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,bestseller,đồ ăn vặt,,,,,
Sáng,Khó chịu,35,1,Hơi Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,có không gian ngoài trời,bestseller,Món Tráng miệng,,,,,
Đêm,Vui,7,2,Lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn chay,wifi miễn phí,đặc sản,Món lạnh,,,,,
Tối,Buồn,28,5,Quá Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,bestseller,Món cho trẻ em,,,,,
Chiều,Bình thường,33,1,Lạnh,Việt nam,Quán Vỉa Hè,ăn chay,có phòng hút thuốc,bestseller,Món lạnh,,,,,
Chiều,Bình thường,11,4,Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn kiêng,có phòng hút thuốc,bestseller,Món nước,,,,,
Trưa,Bình thường,39,2,Hơi Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn chay,Có giao hàng free,bestseller,Món Tráng miệng,,,,,
Chiều,Bình thường,29,2,Hơi Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,bestseller,đồ ăn vặt,,,,,
Chiều,Bình thường,11,3,Mát,miền nam,Quán Vỉa Hè,ăn thoải mái,có phòng trông trẻ,bình thường,Món nước,,,,,
Trưa,Vui,13,2,Hơi Nóng,Trung quốc,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,bestseller,Món nước,,,,,
Trưa,Khó chịu,8,5,Hơi Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn chay,Đang giảm giá,bình thường,Món cho trẻ em,,,,,
Trưa,Vui,9,1,Lạnh,Trung quốc,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,bestseller,đồ ăn vặt,,,,,
Chiều,Bình thường,40,5,Qúa lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,hot trend,Món cho trẻ em,,,,,
Trưa,Buồn,30,2,Mát,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,bình thường,Món cho trẻ em,,,,,
Sáng,Bình thường,6,4,Lạnh,Việt nam,Nhà hàng bình dân,ăn kiêng,Đang giảm giá,đặc sản,đồ ăn vặt,,,,,
Trưa,Khó chịu,31,2,Quá Nóng,Việt nam,Quán Vỉa Hè,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món cho trẻ em,,,,,
Đêm,Buồn,34,3,Hơi lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,bình thường,Món Tráng miệng,,,,,
Tối,Bình thường,11,3,Hơi lạnh,Việt nam,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,hot trend,Món lạnh,,,,,
Chiều,Buồn,39,3,Quá Nóng,hàn quốc,Nhà hàng bình dân,ăn kiêng,có chỗ đỗ xe,bình thường,đồ ăn vặt,,,,,
Đêm,Buồn,24,5,Lạnh,miền nam,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,bestseller,đồ ăn vặt,,,,,
Đêm,Buồn,23,5,Hơi lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn chay,wifi miễn phí,bình thường,Món lạnh,,,,,
Đêm,Bình thường,11,5,Quá Nóng,miền nam,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,hot trend,Món lạnh,,,,,
Tối,Vui,34,4,Hơi lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn kiêng,có phòng hút thuốc,bestseller,đồ ăn vặt,,,,,
Sáng,Khó chịu,20,4,Qúa lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,có không gian ngoài trời,hot trend,Món lạnh,,,,,
Sáng,Vui,18,3,Hơi lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,đặc sản,đồ ăn vặt,,,,,
Chiều,Bình thường,7,2,Quá Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,đặc sản,Món nước,,,,,
Tối,Buồn,26,2,Qúa lạnh,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,bình thường,đồ ăn vặt,,,,,
Chiều,Khó chịu,11,5,Hơi lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,bình thường,Món nước,,,,,
Đêm,Khó chịu,38,1,Lạnh,Trung quốc,Nhà hàng bình dân,ăn kiêng,wifi miễn phí,hot trend,Món lạnh,,,,,
Sáng,Vui,31,3,Mát,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,bestseller,Món lạnh,,,,,
Sáng,Buồn,40,5,Hơi lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,hot trend,Món cho trẻ em,,,,,
Trưa,Bình thường,6,3,Qúa lạnh,hàn quốc,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,hot trend,Món cho trẻ em,,,,,
Đêm,Buồn,33,1,Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,wifi miễn phí,hot trend,Món cho trẻ em,,,,,
Sáng,Vui,10,2,Hơi lạnh,miền nam,Nhà hàng bình dân,ăn thoải mái,có không gian ngoài trời,bình thường,Món Tráng miệng,,,,,
Chiều,Khó chịu,28,5,Lạnh,Việt nam,Nhà hàng bình dân,ăn chay,Đang giảm giá,bestseller,đồ ăn vặt,,,,,
Chiều,Khó chịu,27,3,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,bình thường,Món lạnh,,,,,
Chiều,Khó chịu,31,3,Quá Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,hot trend,Món cho trẻ em,,,,,
Tối,Khó chịu,26,1,Hơi lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,hot trend,đồ ăn vặt,,,,,
Tối,Buồn,39,4,Hơi lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,đặc sản,đồ ăn vặt,,,,,
Chiều,Khó chịu,21,5,Lạnh,đồ ăn vặt,Quán Vỉa Hè,ăn thoải mái,có chỗ đỗ xe,hot trend,Món lạnh,,,,,
Tối,Khó chịu,9,5,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn kiêng,có phòng hút thuốc,bình thường,Món lạnh,,,,,
Trưa,Buồn,36,3,Hơi lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,hot trend,Món nước,,,,,
Trưa,Vui,29,3,Hơi lạnh,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,bình thường,đồ ăn vặt,,,,,
Tối,Khó chịu,15,3,Qúa lạnh,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,đặc sản,Món Tráng miệng,,,,,
Tối,Bình thường,22,2,Lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,Có giao hàng free,bestseller,Món nước,,,,,
Đêm,Vui,33,3,Hơi lạnh,Trung quốc,Quán Vỉa Hè,ăn chay,có phòng trông trẻ,bình thường,đồ ăn vặt,,,,,
Trưa,Buồn,39,5,Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,bình thường,đồ ăn vặt,,,,,
Chiều,Khó chịu,16,5,Quá Nóng,miền nam,Nhà hàng bình dân,ăn kiêng,wifi miễn phí,hot trend,Món cho trẻ em,,,,,
Chiều,Buồn,28,1,Hơi Nóng,miền nam,Nhà hàng bình dân,ăn kiêng,có chỗ đỗ xe,bình thường,đồ ăn vặt,,,,,
Sáng,Khó chịu,27,4,Hơi lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,có phòng trông trẻ,bình thường,Món lạnh,,,,,
Đêm,Khó chịu,14,5,Qúa lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,hot trend,Món nước,,,,,
Sáng,Bình thường,17,1,Hơi lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn chay,wifi miễn phí,hot trend,Món cho trẻ em,,,,,
Trưa,Vui,35,2,Qúa lạnh,miền nam,Nhà hàng bình dân,ăn chay,Có giao hàng free,đặc sản,Món lạnh,,,,,
Đêm,Vui,34,5,Mát,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,bình thường,Món nước,,,,,
Tối,Bình thường,6,5,Nóng,hàn quốc,Nhà hàng bình dân,ăn thoải mái,có phòng trông trẻ,hot trend,Món cho trẻ em,,,,,
Sáng,Vui,29,4,Quá Nóng,Trung quốc,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,hot trend,Món nước,,,,,
Tối,Vui,33,1,Qúa lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,hot trend,đồ ăn vặt,,,,,
Trưa,Khó chịu,20,4,Nóng,Việt nam,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,bình thường,Món lạnh,,,,,
Đêm,Bình thường,20,1,Quá Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,bình thường,Món nước,,,,,
Sáng,Bình thường,30,3,Hơi Nóng,Trung quốc,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,bestseller,đồ ăn vặt,,,,,
Đêm,Vui,22,4,Mát,miền nam,Quán Vỉa Hè,ăn kiêng,có chỗ đỗ xe,bình thường,Món cho trẻ em,,,,,
Sáng,Bình thường,15,3,Hơi lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,có phòng trông trẻ,đặc sản,Món nước,,,,,
Trưa,Buồn,27,3,Lạnh,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,wifi miễn phí,bình thường,Món Tráng miệng,,,,,
Chiều,Bình thường,17,3,Lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn chay,Đang giảm giá,bình thường,Món lạnh,,,,,
Sáng,Khó chịu,37,1,Hơi Nóng,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,có không gian ngoài trời,đặc sản,đồ ăn vặt,,,,,
Đêm,Khó chịu,29,2,Quá Nóng,Món cho trẻ em,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,bình thường,Món lạnh,,,,,
Đêm,Khó chịu,21,4,Hơi Nóng,Trung quốc,Nhà hàng bình dân,ăn chay,có chỗ đỗ xe,hot trend,đồ ăn vặt,,,,,
Tối,Bình thường,37,4,Hơi Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,đặc sản,Món cho trẻ em,,,,,
Tối,Khó chịu,35,1,Qúa lạnh,Việt nam,Quán Vỉa Hè,ăn chay,wifi miễn phí,đặc sản,Món lạnh,,,,,
Tối,Bình thường,22,4,Qúa lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn kiêng,Đang giảm giá,đặc sản,Món Tráng miệng,,,,,
Tối,Khó chịu,6,5,Hơi Nóng,Việt nam,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,bình thường,Món cho trẻ em,,,,,
Chiều,Khó chịu,38,2,Hơi lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn kiêng,có phòng hút thuốc,hot trend,Món lạnh,,,,,
Đêm,Bình thường,7,1,Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,có phòng trông trẻ,bestseller,Món lạnh,,,,,
Đêm,Bình thường,30,4,Hơi Nóng,đồ ăn vặt,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,đặc sản,Món lạnh,,,,,
Tối,Bình thường,11,2,Hơi lạnh,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,hot trend,đồ ăn vặt,,,,,
Đêm,Bình thường,31,5,Hơi Nóng,miền nam,Nhà Hàng Sang Trọng,ăn chay,có phòng hút thuốc,đặc sản,Món lạnh,,,,,
Trưa,Vui,29,2,Hơi lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn chay,có chỗ đỗ xe,hot trend,đồ ăn vặt,,,,,
Chiều,Buồn,35,4,Lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,bình thường,đồ ăn vặt,,,,,
Đêm,Buồn,33,2,Qúa lạnh,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,bestseller,Món cho trẻ em,,,,,
Chiều,Buồn,33,3,Qúa lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,đặc sản,Món nước,,,,,
Trưa,Buồn,33,5,Nóng,hàn quốc,Quán Vỉa Hè,ăn kiêng,có phòng hút thuốc,bestseller,Món Tráng miệng,,,,,
Chiều,Buồn,17,3,Quá Nóng,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,hot trend,Món Tráng miệng,,,,,
Sáng,Buồn,35,5,Qúa lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,hot trend,Món cho trẻ em,,,,,
Đêm,Khó chịu,33,4,Qúa lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn chay,có phòng hút thuốc,đặc sản,Món nước,,,,,
Trưa,Buồn,23,5,Nóng,Trung quốc,Nhà hàng bình dân,ăn chay,Có giao hàng free,hot trend,đồ ăn vặt,,,,,
Chiều,Buồn,17,2,Mát,hàn quốc,Nhà hàng bình dân,ăn chay,có chỗ đỗ xe,hot trend,Món cho trẻ em,,,,,
Sáng,Buồn,28,1,Hơi Nóng,hàn quốc,Nhà hàng bình dân,ăn chay,Có giao hàng free,hot trend,Món lạnh,,,,,
Trưa,Bình thường,39,1,Mát,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,có không gian ngoài trời,đặc sản,Món lạnh,,,,,
Sáng,Buồn,29,3,Hơi lạnh,miền nam,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,bình thường,Món lạnh,,,,,
Đêm,Bình thường,40,2,Lạnh,đồ ăn vặt,Nhà Hàng Sang Trọng,ăn chay,có chỗ đỗ xe,hot trend,Món Tráng miệng,,,,,
Tối,Khó chịu,6,3,Hơi Nóng,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,có phòng hút thuốc,đặc sản,đồ ăn vặt,,,,,
Chiều,Khó chịu,18,3,Quá Nóng,đồ ăn vặt,Quán Vỉa Hè,ăn chay,có phòng hút thuốc,đặc sản,Món cho trẻ em,,,,,
Chiều,Buồn,25,3,Mát,Trung quốc,Quán Vỉa Hè,ăn kiêng,Có giao hàng free,bestseller,đồ ăn vặt,,,,,
Trưa,Buồn,21,5,Qúa lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,đặc sản,Món nước,,,,,
Tối,Buồn,39,1,Quá Nóng,Trung quốc,Quán Vỉa Hè,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món lạnh,,,,,
Sáng,Khó chịu,6,2,Hơi Nóng,hàn quốc,Nhà Hàng Sang Trọng,ăn kiêng,wifi miễn phí,đặc sản,đồ ăn vặt,,,,,
Sáng,Vui,31,4,Mát,Món cho trẻ em,Nhà Hàng Sang Trọng,ăn chay,wifi miễn phí,bình thường,Món cho trẻ em,,,,,
Tối,Buồn,16,4,Lạnh,Việt nam,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,đặc sản,đồ ăn vặt,,,,,
Tối,Khó chịu,31,4,Nóng,miền nam,Nhà hàng bình dân,ăn thoải mái,có phòng hút thuốc,bình thường,Món nước,,,,,
Sáng,Bình thường,5,3,Hơi Nóng,Việt nam,Nhà Hàng Sang Trọng,ăn kiêng,Có giao hàng free,bình thường,Món lạnh,,,,,
Chiều,Khó chịu,30,2,Lạnh,hàn quốc,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,đặc sản,Món cho trẻ em,,,,,
Chiều,Buồn,19,4,Nóng,miền nam,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,bình thường,đồ ăn vặt,,,,,
Chiều,Bình thường,11,2,Lạnh,đồ ăn vặt,Nhà hàng bình dân,ăn kiêng,có không gian ngoài trời,bình thường,đồ ăn vặt,,,,,
Trưa,Khó chịu,9,5,Lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn kiêng,có chỗ đỗ xe,bestseller,đồ ăn vặt,,,,,
Đêm,Buồn,26,1,Quá Nóng,Việt nam,Quán Vỉa Hè,ăn thoải mái,có chỗ đỗ xe,bình thường,Món nước,,,,,
Trưa,Khó chịu,26,1,Qúa lạnh,hàn quốc,Nhà hàng bình dân,ăn chay,wifi miễn phí,bestseller,Món Tráng miệng,,,,,
Sáng,Bình thường,25,4,Lạnh,miền nam,Quán Vỉa Hè,ăn thoải mái,Có giao hàng free,bestseller,Món nước,,,,,
Đêm,Vui,7,1,Hơi Nóng,Việt nam,Nhà hàng bình dân,ăn thoải mái,có chỗ đỗ xe,đặc sản,Món lạnh,,,,,
Trưa,Bình thường,38,3,Hơi Nóng,miền nam,Nhà hàng bình dân,ăn kiêng,có chỗ đỗ xe,đặc sản,Món nước,,,,,
Trưa,Buồn,17,4,Hơi lạnh,Món cho trẻ em,Nhà hàng bình dân,ăn thoải mái,có phòng trông trẻ,bestseller,đồ ăn vặt,,,,,
Sáng,Vui,29,3,Nóng,miền nam,Nhà hàng bình dân,ăn chay,wifi miễn phí,bình thường,Món lạnh,,,,,
Trưa,Khó chịu,34,2,Qúa lạnh,Trung quốc,Quán Vỉa Hè,ăn chay,Đang giảm giá,bestseller,Món nước,,,,,
Đêm,Khó chịu,30,5,Hơi lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,Đang giảm giá,bình thường,Món nước,,,,,
Sáng,Khó chịu,11,1,Lạnh,miền nam,Quán Vỉa Hè,ăn kiêng,có phòng trông trẻ,bình thường,Món cho trẻ em,,,,,
Trưa,Bình thường,29,5,Nóng,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,Đang giảm giá,đặc sản,Món nước,,,,,
Tối,Bình thường,6,4,Hơi lạnh,Việt nam,Quán Vỉa Hè,ăn kiêng,có phòng hút thuốc,bestseller,Món lạnh,,,,,
Đêm,Khó chịu,10,3,Nóng,hàn quốc,Quán Vỉa Hè,ăn thoải mái,có phòng trông trẻ,đặc sản,Món nước,,,,,
Chiều,Khó chịu,5,1,Qúa lạnh,Món cho trẻ em,Quán Vỉa Hè,ăn thoải mái,có không gian ngoài trời,bestseller,Món Tráng miệng,,,,,
Đêm,Khó chịu,30,4,Hơi lạnh,Trung quốc,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,hot trend,Món Tráng miệng,,,,,
Sáng,Bình thường,30,2,Hơi lạnh,miền nam,Quán Vỉa Hè,ăn chay,có không gian ngoài trời,bình thường,Món lạnh,,,,,
Chiều,Bình thường,39,2,Mát,miền nam,Nhà hàng bình dân,ăn kiêng,có phòng hút thuốc,hot trend,đồ ăn vặt,,,,,
Sáng,Khó chịu,7,2,Nóng,miền nam,Nhà Hàng Sang Trọng,ăn thoải mái,có chỗ đỗ xe,bình thường,đồ ăn vặt,,,,,
Sáng,Buồn,5,3,Mát,Trung quốc,Nhà hàng bình dân,ăn thoải mái,Có giao hàng free,bình thường,Món Tráng miệng,,,,,
Trưa,Vui,25,1,Nóng,hàn quốc,Quán Vỉa Hè,ăn kiêng,wifi miễn phí,bình thường,Món Tráng miệng,,,,,
